Birth,Death
53.1,22.6
28.1,8.5
45.1,9.3
50,23.7
30.6,8.8
51.1,21.5
30.2,9.7
51.1,22.2
50.4,25.6
52.7,18.8
49.3,17.2
50.6,18.3
45.5,14.8
56.7,26.7
46.5,18.4
44.2,22.6
52.4,22.9
44,15.3
50.2,19.8
43.1,22.3
37.4,17.8
44.6,13
40.2,12.7
39.4,13.7
40,12.5
38.3,12.3
46.4,14.4
34.2,13.2
40.5,16.5
41.3,12.9
40.4,17.5
41.6,14
35.3,14.2
46,16.7
47.5,21
50.5,22
41,12.5
50.4,21
51.3,21.5
44.3,15
48.3,23.4
46.6,21.2
49.2,21.6
53.2,27.2
46.1,15
59.2,24.3
48.4,22.1
49.4,18.7
48.6,28.3
47.7,18
27.4,11.8
20.4,6
18.7,7.2
26.4,11
15,8.2
37.3,13.8
25.2,9
24.6,6.6
27.3,11.2
32.5,11.4
42.1,11.5
36.7,11.8
34,9.9
52.4,23
41.3,14.8
42.1,20.4
36.4,15.6
38.3,13.6
42.9,15.6
41.2,18.5
42.1,15
28.3,9.4
34.7,6.1
42.7,21
34.6,12.4
42.4,16.2
32,7.5
35.7,15.3
38.6,9
23.7,5.8
28.9,9.7
45.9,21.4
32.3,9.3
24.5,8.9
30.5,10
34.3,7.6
20.4,7.9
19.9,11.8
44,11.9
26.5,6.7
43.5,9.5
36.4,5.7
29.6,8.2
42.5,12.5
32,5
40.9,11.2
47.7,10.1
42.5,9.4
35.5,13.3
32,7.3
51.3,19.2
17,12.8
14.8,12.7
14.7,12.4
14.4,13.5
18.3,10.1
20.7,12.2
17.4,11.7
17.2,12.6
18.2,10.3
15.9,13.2
13.8,11.9
14.7,11.2
14.8,13.3
15.5,10.4
21.3,7.4
20.2,10.4
14.1,13.9
16.6,12.1
15.8,10.5
14,11.3
15.1,12.1
28.7,8.8
21.1,9.4
15.1,12.4
14.8,10.5
14.1,10.6
18.1,8.9
21.4,9.6
17.5,11.5
18.2,11.7
15.3,10.8
16.2,9.5
22.8,9.6
13.9,12.3
14.5,12.3
16.1,11.1
12.8,12.4
14,11.6
16.3,8.9
14.5,9.9
25.8,8.1
24.9,7.5
26.8,7.1
21.6,11.6
22.4,8.1
23.9,8.2
38.7,10.6
31.8,10.3
26.6,9
40.5,17.1
31.3,8.3
24.9,9.3
24.2,7.9
35.1,9.7
34.3,9.9
27.2,9.1
29.6,7.8
40.6,8.3
31.6,6.7
37.3,12.4
43.6,12.8
43.4,12.4
36.9,8.7
42.3,12
33.4,7.3
23.9,9.1
40.4,17.4
32.2,9.9
26.6,8.9
33.7,9.1
36.6,10.5
32.7,8.1
34.5,9.6
36.8,7.4
37.4,12.1
34.1,9.5
20.3,10.5
35.5,7.4
17.9,8
18.4,9.7
18.4,8.3
20.4,8.7
35.2,9
29.2,8.9
41.1,16.1
43,12.2
41.9,12.1
29.8,6.2
39.6,12.7
39.2,9.1
32.6,8.3
40.7,10.4
38,7.4
